folksong,mean.entropy,mean.productivity,mean.Simpsons.D,mean.Yules.K,mean.Sichels.S,mean.Honores.H,p.range,p.entropy,p.std,i.abs.range,i.abs.mean,i.abs.std,i.mode,i.entropy,d.range,d.median,d.mode,d.entropy,d.eq.trans,d.half.trans,d.dotted.trans,len,glob.duration,note.dens,tonalness,tonal.clarity,tonal.spike,int.cont.grad.mean,int.cont.grad.std,int.cont.dir.change,step.cont.glob.var,step.cont.glob.dir,step.cont.loc.var,mode,h.contour,int.cont.glob.dir,int.contour.class,Country
pawnee77,0.845657211619716,0.594596035543404,0.0208586618060302,171.081359709471,0.157058823529412,233.315362737335,7,0.42570290694369,2.74116371175157,7,1.4,1.84951065289509,3,0.434333650740594,0.5,1,1,0.233397150420735,0.566666666666667,0.3,0.0333333333333333,31,10,3.1,0.788392386621308,1.08146249070106,0.185746787600862,1.61428142814281,2.40230615909664,0.75,2.73928534667827,-0.633140309141298,0.56,minor,convex,1,cceb,pawnee
pawnee78,0.849740512598381,0.547488498343762,0.023026903498199,214.45936930505,0.152411742846525,272.03721521428,15,0.522780646089637,5.96660776013183,5,1.14285714285714,1.51382517704875,6,0.419284740729945,1.25,6,3,0.488803582186049,0.387755102040816,0.285714285714286,0.0408163265306122,50,18.75,2.66666666666667,0.880816480158868,1.77967076310419,0.283282278570627,0.958628841607565,1.19523339420819,0,5.97076566495001,-0.902943955896466,0.735294117647059,minor,descending,-1,dccc,pawnee
pawnee79,0.761362730397059,0.356924381614037,0.0245236434541976,227.107116032192,0.0940126050420168,341.356521154476,24,0.657546587737926,6.56215505395315,12,1.75308641975309,2.07684173805764,6,0.590089943290382,2.875,2,2,0.36572538743316,0.54320987654321,0.135802469135802,0.111111111111111,82,26.5,3.09433962264151,0.896091017064006,1.34763809627367,0.236224754134423,1.29129906338922,1.67919576753016,0.181818181818182,6.36022990018814,-0.79006168380729,1.51807228915663,major,descending,-1,cccd,pawnee
pawnee80,0.868102108968437,0.685624455537043,0.0123385931867208,109.205919480954,0.0822101917690153,290.383087800355,17,0.509282568478032,4.27619498032119,12,1.28787878787879,2.12505313247712,4,0.439312675888621,4.8334,3,1,0.484623992945359,0.424242424242424,0.166666666666667,0.181818181818182,67,34,1.97058823529412,0.854473574076304,1.16276084961993,0.201184191902174,1.73261014062745,2.4355852973879,0.7,4.1786201702122,-0.504714759547931,1.30188679245283,major,convex,-1,dcbc,pawnee
pawnee81,0.847456385318588,0.491035631035631,0.021415978092924,205.375056364067,0.188558823529412,310.104144914121,12,0.463301669882838,4.20530519072595,12,2.38805970149254,2.6224856580513,5,0.554489410698396,0.9375,10.5,3,0.57771881574838,0.343283582089552,0.208955223880597,0.149253731343284,68,18,3.77777777777778,0.862271310995261,1.39424847764854,0.249121280232044,3.43838383838384,5.02288355958285,0.454545454545455,4.77202601678786,-0.788426932980006,1.36842105263158,major,descending,-1,cdac,pawnee
pawnee82,0.80542833967274,0.574212340735667,0.0241728572306666,197.015542456202,0.069078947368421,242.927340209694,16,0.49895222656334,5.79686153048385,7,0.944444444444444,1.75571628759879,5,0.338664901279625,0.9167,6,2,0.500563972564116,0.0833333333333333,0.0833333333333333,0.333333333333333,37,10,3.7,0.835761405034489,1.20908411959608,0.238748069477957,1.6,0.928414165097055,0,5.82798097476304,-0.911845034387211,0.557377049180328,major,descending,-1,bbbb,pawnee
pawnee83,0.968007153265589,0.914285714285714,0.00952380952380952,90.702947845805,0.0133333333333333,172.608722790077,14,0.55716598967516,4.51005318262933,7,2.43478260869565,2.23252989304066,6,0.634608717255961,0.875,2,1,0.512812805030169,0.173913043478261,0.0434782608695652,0.347826086956522,24,8.25,2.90909090909091,0.824325988187142,1.1760688187539,0.206994956256853,4.10701961944198,4.94901368108752,0.571428571428571,4.6685238922414,-0.778176440226793,0.848484848484848,major,descending,-1,cabb,pawnee
pawnee84,0.860487626578071,0.623174922643008,0.0157439143538903,140.889341343829,0.106121794871795,282.895260592937,21,0.662636358698153,6.8230157917684,9,1.86274509803922,2.4414717515723,8,0.563030972595608,0.75,3,1,0.405063199250741,0.0196078431372549,0.0196078431372549,0.333333333333333,52,16.125,3.22480620155039,0.858850458585542,1.03284875838703,0.193884138420015,2.44905239687848,5.85670843324248,0.416666666666667,6.62219520912477,-0.942353452207713,1,major,descending,-1,ccbb,pawnee
pawnee85,0.73745909979989,0.228051987486198,0.0475882322425114,455.578885713279,0.297457547612346,318.111376400595,12,0.452240055632473,3.30682097112392,12,1.81818181818182,2.62531062776501,6,0.562726605427697,0.25,1.5,2,0.218104291985532,0.563636363636364,0.436363636363636,0,56,20.5,2.73170731707317,0.872113704739916,1.18092097927425,0.210550730337263,1.5609756097561,2.22045274111662,0.428571428571429,3.38138062627665,-0.363136989666923,1.20481927710843,minor,descending,-1,bccb,pawnee
pawnee86,0.87668719976679,0.679158096805156,0.0158869330443958,142.617461367915,0.0821240694789082,270.310383830573,12,0.413478276592685,2.69526543819211,8,1.75,2.09863177312003,6,0.579289428364038,1.25,2,1,0.51820688094962,0.208333333333333,0.1875,0.1875,49,15.5,3.16129032258065,0.784740759781552,1.08376365895507,0.229981448604651,1.84588314910896,5.72539555768045,0.6,1.75208330805568,-0.188973473428171,0.938775510204082,minor,convex,-1,ccac,pawnee
